nom_categorie        ,nom_produit                                              ,prix_produit     ,reference_produit ,url_produit
Fresati (fraisés)    ,Panneaux Chêne Fraisé Roma                               ,1290€ HT/u       ,Ref: 13011020301  ,https://venessens-parquet.com/collections/panneaux-chene-fraise-roma/
Fresati (fraisés)    ,Panneaux Bouleau Fraisé Firenze                          ,819€ HT/u        ,Ref: 13011020303  ,https://venessens-parquet.com/collections/panneaux-bouleau-fraise-firenze/
Style Français       ,Point de Hongrie Chêne Semi-Massif Aurore                ,129.9€ HT/m²     ,Ref: 05040101090  ,https://venessens-parquet.com/collections/point-de-hongrie-chene-semi-massif-aurore/
Style Français       ,Point de Hongrie Chêne Semi-Massif Mazel                 ,109.9€ HT/m²     ,Ref: 05040104090  ,https://venessens-parquet.com/collections/point-de-hongrie-chene-semi-massif-mazel/
Style Français       ,Point de Hongrie Chêne Semi-Massif Naturel               ,129.9€ HT/m²     ,Ref: 05040106090  ,https://venessens-parquet.com/collections/point-de-hongrie-chene-semi-massif-naturel/
Style Français       ,Point de Hongrie Chêne Semi-Massif Coton Huilé           ,109.9€ HT/m²     ,Ref: 05040111090  ,https://venessens-parquet.com/collections/point-de-hongrie-chene-semi-massif-coton-huile/
Style Français       ,Point de Hongrie Semi-Massif Aspect Brut                 ,99.9€ HT/m²      ,Ref: 03030406119  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-aspect-brut-3/
Style Français       ,Point de Hongrie Semi-Massif Doré                        ,89.9€ HT/m²      ,Ref: 03030406124  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-dore/
Style Français       ,Point de Hongrie Semi-Massif Caramel                     ,89.9€ HT/m²      ,Ref: 03030406108  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-caramel/
Style Français       ,Point de Hongrie Semi-Massif Haussmann                   ,89.9€ HT/m²      ,Ref: 03030406112  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-haussmann/
Style Français       ,Point de Hongrie Semi-Massif Caramel                     ,99.9€ HT/m²      ,Ref: 03030406118  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-caramel-2/
Style Français       ,Point de Hongrie Semi-Massif Naturel                     ,89.9€ HT/m²      ,Ref: 03030406100  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-naturel/
Style Français       ,Point de Hongrie Semi-Massif Javeline                    ,89.9€ HT/m²      ,Ref: 03030406102  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-javeline-2/
Style Français       ,Bâton Rompu Chêne Semi-Massif Coton Huilé                ,89.9€ HT/m²      ,Ref: 05050101027  ,https://venessens-parquet.com/collections/baton-rompu-chene-semi-massif-coton-huile/
Panneaux             ,Dalles Versace Chêne  Semi-Massif Venezia                ,259.9€ HT/m²     ,Ref: 02060210001  ,https://venessens-parquet.com/collections/dalles-versace-chene-semi-massif-venezia/
